id;timestamp;value;meter_port_id;created;last_modified
83170364;2015-09-21 03:00:11.021+02;7000;29;2015-09-21 03:00:11.104293+02;2015-09-21 03:00:11.104324+02
83170363;2015-09-21 03:00:11.021+02;137516000;28;2015-09-21 03:00:11.059688+02;2015-09-21 03:00:11.059721+02
83170366;2015-09-21 03:00:11.351+02;1087000;25;2015-09-21 03:00:11.439549+02;2015-09-21 03:00:11.439582+02
83170365;2015-09-21 03:00:11.351+02;46428946000;24;2015-09-21 03:00:11.388928+02;2015-09-21 03:00:11.388959+02
83170378;2015-09-21 03:00:19.51+02;24000;31;2015-09-21 03:00:19.619179+02;2015-09-21 03:00:19.619212+02
83170377;2015-09-21 03:00:19.51+02;30252000;30;2015-09-21 03:00:19.574287+02;2015-09-21 03:00:19.574321+02
83170398;2015-09-21 03:00:31.348+02;1087000;25;2015-09-21 03:00:31.421841+02;2015-09-21 03:00:31.421874+02
83170405;2015-09-21 03:00:39.507+02;25000;31;2015-09-21 03:00:39.604078+02;2015-09-21 03:00:39.604113+02
83170404;2015-09-21 03:00:39.507+02;30253000;30;2015-09-21 03:00:39.551285+02;2015-09-21 03:00:39.551318+02
83170426;2015-09-21 03:00:51.026+02;6000;29;2015-09-21 03:00:51.100923+02;2015-09-21 03:00:51.101018+02
83170429;2015-09-21 03:00:51.357+02;46428964000;24;2015-09-21 03:00:51.399742+02;2015-09-21 03:00:51.399777+02
83170444;2015-09-21 03:00:59.526+02;24000;31;2015-09-21 03:00:59.685341+02;2015-09-21 03:00:59.685377+02
83170443;2015-09-21 03:00:59.526+02;30253000;30;2015-09-21 03:00:59.590787+02;2015-09-21 03:00:59.59084+02
83170464;2015-09-21 03:01:11.023+02;137516000;28;2015-09-21 03:01:11.155031+02;2015-09-21 03:01:11.155088+02
83170465;2015-09-21 03:01:11.343+02;46428964000;24;2015-09-21 03:01:11.402115+02;2015-09-21 03:01:11.402149+02
83170477;2015-09-21 03:01:19.513+02;25000;31;2015-09-21 03:01:19.613036+02;2015-09-21 03:01:19.613067+02
83170476;2015-09-21 03:01:19.513+02;30253000;30;2015-09-21 03:01:19.567666+02;2015-09-21 03:01:19.567701+02
83170481;2015-09-21 03:01:24.93+02;22000;289;2015-09-21 03:01:24.968384+02;2015-09-21 03:01:24.968417+02
83170498;2015-09-21 03:01:31.352+02;707000;25;2015-09-21 03:01:31.426437+02;2015-09-21 03:01:31.42647+02
83170504;2015-09-21 03:01:39.513+02;24000;31;2015-09-21 03:01:39.586179+02;2015-09-21 03:01:39.586213+02
